region,technology,firms,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,err_9_up,err_8_up,err_7_up,err_6_up,err_5_up,err_4_up,err_3_up,err_2_up,err_1_up,err0_up,err1_up,err2_up,err3_up,err4_up,err5_up,err6_up,err7_up,err8_up,err9_up,err10_up,err_9_down,err_8_down,err_7_down,err_6_down,err_5_down,err_4_down,err_3_down,err_2_down,err_1_down,err0_down,err1_down,err2_down,err3_down,err4_down,err5_down,err6_down,err7_down,err8_down,err9_down,err10_down
Eastern Europe,Mechanical,All firms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Others,All firms,-7.14E-15,-0.35997602,-0.001654371,-0.24067985,0.017841112,-0.13590363,-0.046329018,-0.043796461,-0.11670615,-0.24624482,-0.055404555,-0.29669955,-0.26000938,-0.057551168,-0.23431307,-0.01950739,-0.25448325,-0.33385405,-0.37918264,-0.26911873,0.27422774,0.19864887,0.11602975,0.16275349,0.18763557,0.21470563,0.18148789,0.10735168,0.23604855,0.097885899,0.20077838,0.20630825,0.20850234,0.1257637,0.17175369,0.18066542,0.1761286,0.37596655,0.23895414,0.18774922,-0.27422774,-0.91860092,-0.11933849,-0.64411318,-0.15195335,-0.4865129,-0.27414593,-0.19494461,-0.46946084,-0.59037554,-0.31158748,-0.79970735,-0.72852111,-0.24086604,-0.64037985,-0.2196802,-0.68509513,-1.0436746,-0.9973194,-0.72598666
Latin America,All technologies,All firms,0.008617071,-0.001127589,-0.015253166,-0.03139564,-0.015851542,-0.000778265,-0.012439897,-0.024217298,-0.032255542,0.014917988,0.032973144,-0.032918982,0.030111769,0.08787901,0.03836621,0.090851218,0.21617068,0.16158807,0.12944001,0.21402448,0.052899193,0.064186364,0.013698907,0.008529412,0.013251886,0.008472262,0.017010691,0.019015163,0.026467491,0.086579025,0.093085036,0.020186989,0.11813533,0.20270474,0.15411223,0.19825421,0.38051066,0.3325136,0.30498856,0.38799676,-0.03566505,-0.066441543,-0.044205237,-0.071320698,-0.04495497,-0.010028792,-0.041890487,-0.067449763,-0.090978578,-0.056743048,-0.027138747,-0.086024955,-0.057911783,-0.026946723,-0.077379823,-0.016551778,0.051830709,-0.009337433,-0.046108566,0.040052228
Latin America,Chemical,All firms,0.001339533,0.075397149,0.001285197,-0.015770691,0.001439001,-0.000676885,-0.007166437,-0.0073802,-0.079767622,0.001815077,-0.051951926,-0.075429238,0.24929336,0.16524829,0.080289997,0.078709751,0.21811169,0.28258958,0.058241639,0.14738345,0.028839486,0.23302843,0.029033842,0.048798621,0.029643871,0.021516664,0.030023308,0.040921036,0.081068262,0.161863,0.058467653,0.13683152,0.47699717,0.47383234,0.36323491,0.27625886,0.66828495,0.73696262,0.42177778,0.50610757,-0.026160419,-0.082234122,-0.026463449,-0.080340005,-0.026765868,-0.022870433,-0.044356182,-0.055681434,-0.24060351,-0.15823284,-0.1623715,-0.28768998,0.021589546,-0.14333576,-0.2026549,-0.11883936,-0.23206156,-0.17178348,-0.30529451,-0.21134062
Latin America,Computers & Communications,All firms,-6.84E-16,-6.30E-16,-5.24E-16,-3.96E-16,-2.79E-16,-2.02E-16,2.46E-16,2.52E-16,3.15E-16,3.00E-16,2.96E-16,2.90E-16,5.47E-16,-0.013978333,0.16045523,5.23E-16,0.21418686,0.16637236,0.25232935,0.21706058,0.010126241,0.014814143,0.017871348,0.022423364,0.019944508,0.037200082,0.058311392,0.055115692,0.049998667,0.03645895,0.057298206,0.044081435,0.06339097,0.11218484,0.40805855,0.094844349,0.62482041,0.6468395,0.5966875,0.55424637,-0.010126241,-0.014814143,-0.017871348,-0.022423364,-0.019944508,-0.037200082,-0.058311392,-0.055115692,-0.049998667,-0.03645895,-0.057298206,-0.044081435,-0.06339097,-0.14014152,-0.0871481,-0.094844349,-0.19644672,-0.31409478,-0.092028797,-0.12012521
Latin America,Drugs & Medical,All firms,0.000553632,-0.000329623,-0.000942159,-0.000660941,-5.73E-06,-0.001345291,-0.001961422,-0.003707982,-0.002579671,-0.004638728,0.083422132,-0.006128275,0.063418403,0.19087847,0.19979341,0.15962091,0.33386612,0.15451375,0.35184938,0.48888552,0.005990743,0.010299101,0.01186135,0.011743953,0.011853036,0.012199744,0.01042345,0.020813851,0.017738348,0.025764707,0.24755926,0.037745122,0.17368746,0.46720904,0.48335379,0.48348039,0.76809514,0.54629499,0.73751765,0.88114995,-0.00488348,-0.010958348,-0.013745667,-0.013065834,-0.011864504,-0.014890325,-0.014346293,-0.028229814,-0.022897689,-0.035042163,-0.080715008,-0.050001673,-0.046850663,-0.08545211,-0.083766967,-0.16423856,-0.10036287,-0.23726749,-0.033818927,0.096621096
Latin America,Electrical & Electronic,All firms,-0.000883922,0.000435318,0.000947399,0.00028203,0.000334024,0.000358075,0.03358363,-1.81E-06,0.008822712,0.10970485,0.055862807,0.010689714,-0.10945495,0.15047067,-0.016797101,-0.058604348,0.15717939,0.084492974,0.127701,0.24539581,0.012343127,0.019131467,0.02368727,0.047478471,0.040289667,0.052304421,0.098608926,0.034094151,0.081468321,0.33843803,0.20737104,0.0809488,0.28254491,0.60226274,0.080412067,0.33618054,0.50222152,0.60008126,0.88964409,0.94463414,-0.014110972,-0.018260831,-0.02179247,-0.04691441,-0.039621621,-0.051588271,-0.031441662,-0.03409778,-0.063822895,-0.11902832,-0.095645428,-0.05956937,-0.50145483,-0.30132142,-0.11400627,-0.45338923,-0.18786275,-0.4310953,-0.63424212,-0.45384249
Latin America,Mechanical,All firms,-0.080032349,0.11245237,-0.17627472,-0.17627472,-0.17627472,-5.87E-15,-0.17627472,-0.17627472,-0.17627472,-0.35254943,0.20750457,-0.17627472,-5.50E-15,-0.31936851,-0.41808045,0.096242368,0.11078469,0.096242368,-0.32797194,-0.014542321,0.42037147,0.37726229,0.22137249,0.22991548,0.2126697,0.29329374,0.26155573,0.27462882,0.22762471,0.1414769,0.82256585,0.24077307,0.19913729,0.3963891,0.27872574,0.3731373,0.43503359,0.45517263,0.21637641,0.36329973,-0.58043617,-0.15235755,-0.57392192,-0.58246493,-0.5652191,-0.29329374,-0.61410517,-0.62717825,-0.58017415,-0.84657574,-0.40755668,-0.59332252,-0.19913729,-1.0351261,-1.1148866,-0.18065257,-0.21346422,-0.26268789,-0.87232029,-0.39238438
Latin America,Others,All firms,0.097930402,-0.19291973,4.35E-16,-0.097930402,3.73E-16,3.92E-16,6.01E-16,-0.04446242,-7.47E-16,0.1958608,7.19E-16,1.26E-15,-0.16841997,0.097930402,-0.16996229,0.2226028,0.097930402,0.096956849,-0.045554459,-0.074309379,0.347893,0.17514949,0.069806635,0.095356002,0.096234687,0.057517547,0.075884648,0.20228012,0.28127244,0.46521854,0.071127191,0.070348881,0.1826202,0.33424693,0.18165375,0.50492591,0.30466709,0.24641635,0.2564069,0.32606286,-0.15203221,-0.56098896,-0.069806635,-0.29121679,-0.096234687,-0.057517547,-0.075884648,-0.29120496,-0.28127244,-0.07349696,-0.071127191,-0.070348881,-0.51946014,-0.13838613,-0.52157831,-0.059720278,-0.10880628,-0.052502662,-0.34751582,-0.47468162
East Asia,All technologies,All firms,0.028688893,-0.015978198,-0.014741176,0.011676067,0.023086371,0.00250093,0.005673082,0.081059486,0.013208353,0.064335041,0.14377131,0.28612453,0.3345314,0.36250883,0.37264305,0.34213653,0.51950377,0.57443523,0.56577432,0.62901205,0.084760256,0.021088082,0.022837657,0.07969474,0.083304785,0.070899799,0.070251904,0.16260643,0.068406135,0.15925317,0.28447676,0.4199909,0.53471118,0.55540514,0.61136603,0.59224212,0.81032223,0.8884545,0.88452578,0.97553235,-0.027382473,-0.053044479,-0.052320007,-0.056342602,-0.037132047,-0.065897942,-0.058905739,-0.000487461,-0.041989427,-0.030583085,0.003065871,0.15225814,0.1343516,0.16961254,0.13392012,0.09203095,0.2286853,0.26041597,0.24702288,0.28249174
