geoid_r	pop_rIp	GDPpc_rIp	popd_rIp	allpat	educ_rIp
317	1502814.54	2417.47	6.26	0.00	5.45
318	16920963.74	2314.17	6.54	0.03	4.75
321	1815500.13	1121.09	5.19	0.03	3.98
322	1831175.27	908.15	4.33	0.01	4.28
323	3765758.33	1669.59	4.76	0.01	4.98
325	962877.83	1475.08	3.48	0.05	5.63
326	1003914.96	3538.71	1.54	0.13	4.39
329	309202.14	1317.71	5.17	0.00	4.37
333	80689.09	32810.65	-2.22	0.15	10.22
334	869965.75	33473.49	-0.50	2.06	11.78
335	164286.85	37993.37	4.72	0.18	12.67
336	3357933.57	28752.63	1.95	12.00	11.57
337	801363.34	24898.15	0.34	1.34	10.93
338	2685041.58	26259.59	2.93	5.74	10.98
339	1589614.06	25680.34	0.50	3.13	10.70
340	300540.78	22784.55	1.88	0.63	11.07
345	1521131.92	800.16	6.15	0.03	2.97
353	2152350.65	3425.88	7.66	0.04	6.28
359	539580.34	985.78	3.95	0.02	7.37
396	2358051.42	12441.23	5.11	0.16	4.66
397	220519.57	15174.34	4.25	0.01	4.64
398	1242625.56	12654.98	4.20	0.08	4.35
399	2018898.55	19972.02	6.98	0.20	6.30
400	386412.97	13353.63	2.94	0.03	4.02
401	1070155.22	12855.14	3.17	0.19	6.11
402	181510.22	12950.84	1.44	0.06	5.92
403	1099023.59	12560.17	2.54	0.04	6.11
404	1448837.93	12012.24	2.30	0.19	5.49
405	734221.35	8002.51	2.39	0.01	4.90
406	1214762.29	8120.55	3.63	0.06	5.23
407	1084490.48	11732.66	2.32	0.05	5.94
408	683557.26	4455.26	2.81	0.04	4.02
409	1772844.45	16715.95	3.87	0.27	6.80
410	1086923.72	6736.03	3.43	0.02	4.53
411	1287760.48	10591.86	3.37	0.11	5.78
412	402521.65	10008.90	4.84	0.07	5.58
413	234128.83	9898.48	4.32	0.07	5.37
414	2892419.12	9963.06	4.20	0.10	5.25
415	1837500.15	5720.54	4.05	0.06	4.15
416	446759.92	6554.50	3.40	0.04	4.86
417	297447.51	12926.84	2.38	0.05	4.80
418	1530786.60	4317.59	3.43	0.04	3.53
419	2230194.75	6500.78	4.79	0.06	4.58
420	789142.14	13122.93	4.09	0.02	4.63
