geoid_r,macroregion,impact,diff,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
687,Central Asia,1.4409722,1,2005,,1,,,,,,1732,1151756.5,6.6022458,9912.6641,4.8099642,9513383172.520001,Mersin
688,Central Asia,1.4409722,-1,2005,,0,,,,,,,162782.06,6.247282,6226.0991,3.6832571,4092686077.45,Kirsehir
689,Central Asia,1.4409722,1,2005,,0,,,,,,,717482.31,6.3895011,7539.8062,4.1916742,10881760812,Kayseri
690,Central Asia,1.4409722,1,2005,,0,,,,,,,236508.59,5.9611259,8666.1035,3.262429,9097556514.18,Nigde and Aksaray
691,Central Asia,1.4409722,-1,2005,,0,,,,,,,205673.94,5.931828,9843.5537,4.0843458,3466101190.95,Nevsehir
692,Central Asia,1.4409722,-1,2005,,0,,,,,,,825647.38,5.9129949,7597.606,5.4470811,3569370182.9,Hatay
693,Central Asia,1.4409722,-1,2005,,0,,,,,,,243066.7,6.4512911,6207.856,4.079812,4110688897.97,Amasya
694,Central Asia,1.4409722,0,2005,,0,,,,,,,389562.53,5.396636,6805.7598,3.8562901,8238586053.62,Corum
695,Central Asia,1.4409722,-1,2005,,0,,,,,,,353142.03,5.9416032,6611.4102,4.3931642,4367715747.1,Giresun
696,Central Asia,1.4409722,-1,2005,,0,,,,,,,606972.38,5.5893879,4635.5259,5.0521951,3886327526.16,Ordu
697,Central Asia,1.4409722,-1,2005,,0,,,,,,,137741.3,5.3185,6322.2988,3.505501,4168692839.89,Sinop
698,Central Asia,1.4409722,-1,2005,,0,,,,,,,259067.55,6.2048202,5754.4829,2.675029,18153537023.5,Sivas
699,Central Asia,1.4409722,-1,2005,,0,,,,,,,820296.19,5.9128542,7531.4009,4.8776822,6248718044.21,Samsun
700,Central Asia,1.4409722,0,2005,,0,,,,,,,579973.44,6.0455189,5497.0752,4.5459051,6180763856.48,Tokat
701,Central Asia,1.4409722,-1,2005,,0,,,,,,,478030.91,6.1401639,3645.5701,3.974467,9034454152.950001,Yozgat
702,Central Asia,1.4409722,-1,2005,,0,,,,,,,120553.23,6.5584931,8840.6426,3.1680369,5088702345.97,Artvin
703,Central Asia,1.4409722,-1,2005,,0,,,,,,,642296.75,6.2668328,4582.3599,3.700366,15910037931.1,Erzurum
704,Central Asia,1.4409722,-1,2005,,0,,,,,,,211812.11,6.6928878,4254.3408,3.3548679,7400905852.65,Erzincan
705,Central Asia,1.4409722,-1,2005,,0,,,,,,,128647.2,5.9102759,4936.9121,2.9911251,6477256194.9,Gumushane
706,Central Asia,1.4409722,-1,2005,,0,,,,,,,248118.58,6.1650729,8014.1338,4.5877318,2526221823.28,Rize
707,Central Asia,1.4409722,-1,2005,,0,,,,,,,703949.94,6.9011979,5276.1069,5.372035,3297482001.96,Trabzon
