geoid_r,macroregion,impact,diff,diff2,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
102,Latin America,0.12582392,0,0,2005,Santander,0,969653.31,6.7435699,9500.6211,4.1421032,15407210615,,969653.31,6.7435699,9500.6211,4.1421032,15407210615,Santander
103,Latin America,0.12582392,-1,0,2005,La Guajira,0,336769.31,4.9341769,4743.4839,3.4830799,10343085026,,336769.31,4.9341769,4743.4839,3.4830799,10343085026,La Guajira
104,Latin America,0.12582392,-1,0,2005,Caldas,0,454202.25,6.432785,5186.5469,4.7329001,3997393868,,454202.25,6.432785,5186.5469,4.7329001,3997393868,Caldas
105,Latin America,0.12582392,-1,0,2005,Cundinamarca,0,1125760.1,6.4773669,6105.6138,4.5907168,11421490348,,1125760.1,6.4773669,6105.6138,4.5907168,11421490348,Cundinamarca
106,Latin America,0.12582392,0,0,2005,Bogota,0,3421768,9.2539721,10505.99,8.3740568,789666693.1,,3421768,9.2539721,10505.99,8.3740568,789666693.1,Bogota
107,Latin America,0.12582392,-1,0,2005,Quindio,0,261865.8,6.7434878,4169.4712,5.7529159,831034603.6,,261865.8,6.7434878,4169.4712,5.7529159,831034603.6,Quindio
108,Latin America,0.12582392,-1,0,2005,Risaralda,0,434396.5,6.5254102,5051.6631,5.3390489,2085291695,,434396.5,6.5254102,5051.6631,5.3390489,2085291695,Risaralda
109,Latin America,0.12582392,0,0,2005,Tolima,0,662230.38,5.9573331,4624.9922,4.0469408,11572973275,,662230.38,5.9573331,4624.9922,4.0469408,11572973275,Tolima
110,Latin America,0.12582392,-1,0,2005,Caqueta,0,170136.23,5.132556,3528.856,1.328763,45052859825,,170136.23,5.132556,3528.856,1.328763,45052859825,Caqueta
111,Latin America,0.12582392,-1,0,2005,Cauca,0,595520.38,5.0414348,3227.4661,3.7260439,14344858038,,595520.38,5.0414348,3227.4661,3.7260439,14344858038,Cauca
112,Latin America,0.12582392,-1,0,2005,Huila,0,504628.94,5.5511608,4644.501,3.9155569,10056974420,,504628.94,5.5511608,4644.501,3.9155569,10056974420,Huila
113,Latin America,0.12582392,-1,0,2005,Narino,0,754457.63,4.9838939,2788.188,3.8548429,15977094514,,754457.63,4.9838939,2788.188,3.8548429,15977094514,Narino
114,Latin America,0.12582392,0,0,2005,Valle del Cauca,0,2044515.1,7.439569,6875.2632,5.220046,11054857778,,2044515.1,7.439569,6875.2632,5.220046,11054857778,Valle del Cauca
115,Latin America,0.12582392,-1,0,2005,Atlantico,0,1081396.6,8.1514645,5214.3662,6.415925,1768414965,,1081396.6,8.1514645,5214.3662,6.415925,1768414965,Atlantico
116,Latin America,0.12582392,-1,0,2005,Bolivar,1,935189.81,6.6329432,5774.25,4.2629781,13167760934,1749,935189.81,6.6329432,5774.25,4.2629781,13167760934,Bolivar
117,Latin America,0.12582392,-1,0,2005,Cesar,0,448245.47,6.002615,5610.3252,3.6554821,11586712896,,448245.47,6.002615,5610.3252,3.6554821,11586712896,Cesar
118,Latin America,0.12582392,-1,0,2005,Choco,0,196633.92,5.56147,2548.2571,2.1408091,23116225428,,196633.92,5.56147,2548.2571,2.1408091,23116225428,Choco
119,Latin America,0.12582392,-1,0,2005,Magdalena,1,581278.56,6.068984,3247.21,3.8989999,11777961121,1749,581278.56,6.068984,3247.21,3.8989999,11777961121,Magdalena
120,Latin America,0.12582392,-1,0,2005,Sucre,0,388447.91,5.602993,2582.8279,4.2226658,5694455942,,388447.91,5.602993,2582.8279,4.2226658,5694455942,Sucre
121,Latin America,0.12582392,-1,0,2005,Norte de Santander,0,614213.19,5.944488,3576.959,4.0238109,10985004417,,614213.19,5.944488,3576.959,4.0238109,10985004417,Norte de Santander
122,Latin America,0.12582392,-1,0,2005,Meta,0,359914.22,6.673852,8266.0195,2.123168,43064446703,,359914.22,6.673852,8266.0195,2.123168,43064446703,Meta
123,Latin America,0.12582392,,0,,,,,,,,,,,,,,,
124,Latin America,0.12582392,-1,0,2005,,0,,,,,,,70433.047,7.7160978,8779.6709,-0.09026105,76839755723,Aisn del General Carlos Ibez del Campo
125,Latin America,0.12582392,-1,0,2005,,0,,,,,,,126219.84,8.8471737,12116.635,0.2018562,1.031E+11,Magallanes y Antrtica Chilena
126,Latin America,0.12582392,1,1,2005,,0,,,,,,,243018.08,9.4065647,14842.36,2.0715344,30472671431,Tarapac
127,Latin America,0.12582392,0,0,2005,,6,,,,,,1552,288273.28,9.7002621,32245.824,1.4368815,68215894866,Antofagasta
128,Latin America,0.12582392,0,0,2005,,0,,,,,,,149846.61,8.4782572,14464.44,1.222111,44071108980,Atacama
129,Latin America,0.12582392,0,0,2005,,1,,,,,,1552,379565.84,8.2505608,7835.3169,2.7953565,23063417796,Coquimbo
130,Latin America,0.12582392,1,1,2005,,37,,,,,,1552,3847725,9.4120388,13036.66,5.9982967,9525529380,Regin Metropolitana de Santiago
131,Latin America,0.12582392,0,0,2005,,0,,,,,,,974614.13,9.1659508,9095.2148,4.6186509,9587356228,Valparaso
132,Latin America,0.12582392,0,0,2005,,0,,,,,,,584001.5,7.3749399,4704.8481,3.3262866,20936568572,Araucana
