geoid_r	pop_rIp	GDPpc_rIp	educ_rIp	allpat	popd_rIp
778	1587053.81	23487.67	10.75	54.72	6.33
779	1081192.90	23223.50	10.33	19.17	5.73
780	1422151.59	22486.92	10.58	80.71	5.73
781	686774.16	17718.34	10.09	2.48	5.02
782	1331877.63	22935.89	10.68	27.67	5.06
783	931991.80	17753.73	10.19	3.86	5.91
784	808752.83	16189.06	11.19	30.09	5.89
785	1554578.79	23239.92	9.96	8.83	5.27
786	735258.17	21537.63	10.57	1.74	5.26
787	1170626.78	23782.87	10.80	114.97	5.58
788	747162.12	20236.23	10.88	0.77	6.35
789	5278611.74	28622.17	10.88	39.02	8.42
790	523062.47	19738.36	10.43	0.98	5.87
791	3846875.77	18573.47	10.89	98.05	7.39
792	742782.44	26691.42	10.61	15.32	5.70
793	474289.79	19346.07	9.95	4.99	4.74
794	2214205.09	25613.32	10.56	56.74	6.11
795	1190156.98	25382.70	10.40	17.19	5.69
796	498576.86	19359.66	9.91	2.21	5.30
797	7334678.56	44735.27	11.41	303.65	8.79
798	374314.64	21050.53	10.49	1.34	5.17
799	694277.41	25308.20	10.55	15.54	5.56
800	649179.64	19881.55	10.26	4.01	5.44
801	797773.65	20341.65	10.18	4.98	4.89
802	945612.29	23165.29	10.74	9.58	5.54
803	522989.25	22447.05	10.72	7.15	5.25
804	1060367.75	18052.32	6.23	0.21	4.21
805	398444.19	16378.10	5.85	0.19	4.10
806	1317332.25	14646.53	5.97	0.43	4.91
807	3695381.56	16111.95	6.32	0.40	6.03
808	218448.35	18038.87	6.04	0.12	4.27
809	2628981.76	16786.38	6.05	0.62	5.32
810	3122189.09	16044.81	6.04	1.57	5.27
811	381906.04	16090.80	6.10	0.02	3.70
812	1148590.21	18177.12	7.57	0.09	4.51
813	411613.38	15947.90	6.57	0.04	3.52
814	472730.32	16806.20	6.59	0.03	3.95
815	2792936.38	21178.75	8.84	0.32	5.30
816	827727.45	16487.15	6.87	0.03	3.89
817	290180.34	18305.12	7.00	0.03	3.91
818	336210.19	18622.94	7.22	0.12	4.18
823	371737.72	9632.27	7.79	0.02	5.74
824	111740.02	5707.84	5.76	0.00	4.14
827	2430162.75	3702.28	4.49	0.06	6.82
829	2284576.12	2501.35	3.53	0.03	5.78
832	1905567.75	4053.39	5.90	0.06	7.19
834	2656252.25	3334.75	5.04	0.07	4.81
836	1834130.00	2335.94	3.22	0.05	5.08
837	3890344.00	5021.89	6.59	0.10	7.66
838	1863196.69	2716.04	4.68	0.02	8.14
840	235632.77	4297.04	5.85	0.03	3.84
841	2435313.12	2674.81	4.30	0.02	6.66
843	1545294.81	1954.14	3.55	0.06	7.02
851				0.00	
853	129238.80	1501.94	2.14	0.03	-1.65
854	270150.89	1726.19	4.92	0.03	-0.53
855	1940225.55	1492.66	6.51	0.12	2.74
856	1770947.25	1810.11	6.95	4.44	2.88
857	2209789.26	1326.04	6.39	0.06	2.83
858	1754700.61	889.11	4.64	0.27	2.87
859	2960801.08	1842.94	6.54	0.20	3.30
860	3237068.94	1585.42	6.50	0.40	3.30
861	5942658.06	2388.88	5.89	0.55	2.90
862	2018082.48	1307.22	4.87	0.06	2.24
863	750170.86	6171.79	9.15	0.07	4.22
864	4841082.74	1541.99	6.49	0.05	3.87
865	5014903.89	2472.54	6.38	0.11	3.94
866	554514.38	5132.46	8.02	0.31	4.31
867		14655.47	8.80	81.80	6.32
868	1622098.08	2546.77	5.85	0.69	3.17
869	3133685.47	1420.60	5.46	0.19	3.63
870	3991671.81	1916.73	6.74	3.08	3.53
871	2060297.58	1418.71	5.86	1.10	3.07
872	3906116.77	3091.04	6.45	0.21	4.18
873	818948.09	8378.98	8.44	0.04	5.47
874	2449620.17	3198.69	5.99	2.13	3.75
875				2.89	
878	191446.08	5385.89	8.42	0.08	3.94
879	98462.87	5870.29	8.29	0.03	3.83
889	2846355.37	4517.13	9.13	0.00	7.84
891	3176777.46	25197.40	8.48	3.98	6.42
892	380404.73	29555.19	8.59	0.28	4.50
893	508414.25	25991.83	8.51	0.09	5.04
895	524734.96	7134.95	10.30	0.06	0.84
896	326858.31	17350.22	10.66	0.03	1.37
900	1112211.88	7420.75	10.47	0.13	1.24
903	516787.73	17388.50	12.18	0.10	4.80
912	30950.03	6546.44	10.64	0.03	2.72
914	34390.71	8169.39	10.49	0.06	2.51
915	142544.98	9943.35	11.80	0.11	3.83
917	55441.02	7482.21	10.80	0.06	2.84
920	124529.41	6618.03	10.34	0.00	3.62
931	57551.78	4841.67	10.54	0.03	3.51
932	893221.83	12933.58	11.33	0.26	5.67
936	25946.36	4151.97	9.95	0.00	2.73
946				0.03	
951				0.02	
956				0.00	
957	431174.90	32295.70	12.74	3.89	5.31
958	179353.69	24674.41	12.52	1.03	3.87
959	275898.19	39851.39	13.02	2.59	7.34
960	735203.59	28296.08	12.62	3.90	5.00
961	156765.22	27326.88	12.62	2.64	4.85
962	171130.12	29563.12	12.54	1.47	5.68
963	120285.50	28900.69	12.63	1.73	5.32
964	146960.82	48822.08	12.77	4.56	8.58
965	179180.12	33520.13	12.72	6.44	6.15
966	372788.84	31875.10	12.56	7.10	5.88
967	877771.56	40869.41	12.77	12.46	6.53
968	27748.06	36799.81	12.31	0.17	4.01
969	53438.02	32269.85	12.57	1.14	5.49
970	47913.40	27751.58	12.39	0.18	5.05
971	312723.69	28663.57	12.46	2.58	5.37
972	127692.70	29814.02	12.52	1.04	3.22
973	211308.97	28566.45	12.44	1.50	5.80
974	238670.51	27921.52	12.56	1.25	5.38
975	25057.23	26900.13	12.46	0.57	3.46
976	83134.44	30673.72	12.49	0.49	4.82
977	21342.59	25657.32	12.51	0.13	4.08
978	24147.41	35828.50	12.58	0.47	4.78
979	64264.59	53026.33	12.78	0.86	5.89
980	150652.16	27293.77	12.63	0.51	4.33
981	1695675.54	36339.15	10.88	13.47	5.50
982	294954.97	23346.99	10.77	2.59	3.54
983	249222.83	22906.09	10.02	0.96	3.60
984	387904.84	24698.16	10.28	2.40	3.51
985	267329.52	24464.67	10.11	1.73	3.34
986	242468.66	26364.77	10.09	0.47	3.76
987	295448.51	26398.49	10.03	0.78	3.30
988	161991.85	26216.48	10.20	0.56	2.94
989	219905.55	24827.36	9.85	2.32	3.02
990	53199.93	23146.26	9.99	0.29	2.89
991	135431.52	24777.92	9.91	0.41	3.91
992	981322.86	25565.70	10.17	4.64	4.57
993	242728.06	24411.74	10.07	1.15	3.84
994	1403858.17	27041.60	10.28	6.50	3.94
995	277057.97	24117.29	10.09	1.21	2.55
996	292203.47	25232.83	10.00	1.09	2.24
997	297006.56	25328.69	9.92	3.14	2.67
998	280692.58	27471.65	10.12	0.81	2.40
999	147215.60	24876.17	10.20	0.15	0.90
1000	298287.37	24801.31	10.50	2.44	1.46
1001	331144.01	26559.42	10.37	0.90	0.90
1002	88089.36	13700.35	9.86	0.03	4.51
1003	225477.12	15780.29	10.32	0.04	4.97
1004	53031.91	15658.48	10.05	0.07	4.26
1005	182827.82	17323.71	10.11	0.18	4.66
1006	32895.43	14798.21	10.19	0.02	5.15
1007	49383.66	16396.04	9.88	0.06	4.35
1008	97172.06	17670.19	9.75	0.09	3.93
1009	35885.82	14889.66	10.05	0.05	3.54
1010	349724.32	26663.96	11.00	0.14	5.25
1011	140778.64	16978.15	10.43	0.05	4.52
1012	85356.63	18558.54	10.12	0.08	3.95
1013	72696.32	20538.98	10.30	0.03	4.61
1014	451498.08	28359.43	10.07	0.16	5.70
1015	413149.41	13460.47	8.98	0.05	4.89
1016	458090.52	11624.09	9.11	0.11	4.90
1017	532800.14	11011.76	9.05	0.08	4.72
1018	524972.79	10277.96	8.88	0.06	4.62
1019	498807.44	9982.83	9.01	0.04	4.25
1020	596939.19	7698.88	8.54	0.04	4.47
1021	577986.69	11042.12	8.89	0.04	4.73
1024	1107441.88	9439.42	11.14	0.00	6.18
1036	200332.38	3751.70	9.07	0.00	4.32
1046	1001155.49	11150.48	10.64	0.27	1.20
1047	314071.58	3323.41	9.99	0.07	4.02
1048	305910.62	3245.81	10.38	0.00	3.42
1050	585629.43	3621.62	10.42	0.16	4.24
1051	471878.56	3311.63	10.76	0.03	4.44
1052	1910797.07	5147.88	10.26	0.07	3.70
1053	813906.31	6298.12	10.72	0.09	4.25
1054	1258015.67	13727.06	11.08	0.04	1.89
1055	673110.38	7109.56	9.74	0.09	2.55
1056	719856.20	5002.02	9.80	0.14	2.65
1057	6409869.86	9943.60	11.50	1.47	4.33
1058	1167413.43	4451.74	9.90	0.12	3.70
1059	950810.42	6040.27	9.95	0.09	3.08
1060	826664.01	9582.38	10.20	0.15	1.45
1062	723803.24	5788.87	9.79	0.02	2.54
1063	3221932.68	7693.87	10.21	0.38	3.84
1064	1409648.35	5963.33	10.00	0.14	2.90
1065	1292642.89	13300.30	9.95	0.07	2.19
1066	1307268.83	8281.41	10.21	0.02	3.65
1067	907462.64	6020.51	10.39	0.08	3.59
1068	1022552.47	6189.26	9.92	0.08	3.75
1069	1007220.01	10059.74	9.94	0.09	3.92
1070	14545508.82	18930.95	11.56	6.62	5.86
1071	722352.98	5962.58	10.01	0.05	3.57
1072	3267233.45	5178.86	10.42	0.17	3.77
1073	1453181.92	6140.38	10.06	0.15	4.21
1074	2072547.90	6291.83	10.41	0.07	3.17
1075	1175143.34	7622.79	10.18	0.03	4.02
1076	3613729.93	6263.08	10.22	0.10	4.22
1077	791554.10	4658.27	10.16	0.06	3.57
1078	1238737.86	4344.25	9.89	0.03	3.53
1079	1080815.05	6127.41	9.99	0.08	3.46
1080	1009619.70	4719.62	9.74	0.09	3.57
1081	1398636.28	5352.44	10.13	0.04	3.97
1082	1924395.14	5257.82	10.11	0.17	3.84
1083	3497193.80	8559.40	10.14	0.07	3.36
1084	3104977.14	8321.30	10.33	0.20	3.71
1085	921880.59	4637.62	9.59	0.07	2.69
1086	1236721.19	14648.03	10.55	0.09	0.95
1087	1487672.78	5659.05	9.82	0.17	2.56
1088	670682.98	4086.21	10.32	0.09	3.44
1089	4353110.05	9525.35	10.21	0.16	3.15
1090	1466913.26	7794.64	10.34	0.18	3.63
1091	745249.02	6159.10		0.14	3.10
1092	1168557.95	4612.38	10.17	0.02	4.28
1093	220296.31	3670.91	10.31	0.00	1.42
1094	1773224.02	8342.64	10.10	0.18	2.87
1095	2729327.75	11145.71	10.66	0.12	4.12
1096	2155273.27	6021.86	10.41	0.08	3.27
1097	3308244.89	11060.60	10.35	0.09	4.02
1098	1201719.39	5591.03	10.05	0.04	3.65
1099	1887755.09	7560.28	10.14	0.08	2.71
1100	2156441.30	4405.23	9.92	0.18	2.74
1101	159635.86	3932.09	9.91	0.10	0.78
1102	2568587.59	8859.10	10.09	0.14	3.44
1103	469840.55	7488.04	10.20	0.05	2.21
1104	2382266.91	7207.10	10.28	0.58	2.73
1105				0.08	
1107	849504.52	6142.38	10.34	0.12	1.05
1108	799886.65	7313.33	10.28	0.28	0.97
1109	1219428.52	18889.85	11.04	0.01	-1.14
1110	149820.36	5521.00	9.51	0.06	1.71
1111	1293419.65	10087.93	10.82	0.08	0.64
1112	237685.68	14190.21	11.39	0.00	-0.77
1113	459653.62	15309.56	10.77	0.16	1.93
1114	444007.73	6286.94	9.03	0.03	4.38
1116	517230.67	7565.41	9.72	0.11	4.66
1117	381489.56	4671.93	8.76	0.08	4.41
1118	277142.26	5310.19	8.80	0.03	4.45
1119	184248.17	4988.12	8.63	0.15	4.17
1120	278982.27	5927.01	9.14	0.02	4.12
1121	427620.45	7930.42	10.08	0.04	4.71
1124	425329.92	6036.87	9.10	0.10	4.47
1128	593455.84	5293.63	8.95	0.08	4.99
1129	404294.62	4779.00	8.69	0.05	4.54
1130	507528.97	4517.89	8.69	0.00	4.39
1132	263648.06	4957.17	8.80	0.08	4.36
1133	352385.84	4567.66	8.26	0.00	4.40
1134	500498.10	8087.45	9.35	0.03	4.62
1138	463589.36	6818.34	9.35	0.05	4.56
1139	227156.90	4012.72	7.54	0.02	4.16
1140	383685.46	4864.80	8.53	0.10	4.90
1142	207852.72	5466.58	7.88	0.02	4.20
1143	590841.07	6387.29	9.08	0.13	5.17
1145	1361317.34	13397.29	10.97	0.33	8.99
1146	211983.04	8239.40	8.08	0.00	5.26
1147	509807.78	4871.56	8.80	0.04	4.59
1150	343737.66	4560.85	8.44	0.00	4.49
1151	293989.52	5950.02	8.85	0.09	4.28
1152	335744.25	6974.90	8.86	0.08	4.09
1153	241059.64	5340.68	8.80	0.05	3.69
1154	354745.07	6041.94	9.40	0.15	4.25
1155	488266.26	7873.04	9.58	0.03	4.36
1156	2103909.67	9441.18	10.02	0.15	4.97
1157	4036485.25	14448.77	10.57	0.80	4.93
1158	2437008.27	8843.32	10.49	0.17	5.34
1159	3759718.25	11461.34	10.81	0.37	5.97
1160	1758719.46	7534.14	9.76	0.19	4.48
1161	1664898.26	7561.83	10.09	0.10	4.79
1162	1027597.30	7828.93	9.63	0.03	4.71
1163	1012050.84	7576.69	9.72	0.09	4.10
1164	2711417.69	10434.38	10.41	0.22	4.71
1165	824909.60	9624.33	10.24	0.05	4.28
1166	2331430.97	10515.66	10.45	0.21	4.99
1167	868284.29	8990.25	10.49	0.32	4.76
1168	1717855.59	9506.38	10.40	0.04	4.75
1169	1220816.52	8250.01	10.32	0.06	4.09
1170	3248931.64	10258.17	10.42	0.21	4.55
1171	460532.34	88789.33	9.02	1.98	6.92
