geoid_r	pop_rIp	GDPpc_rIp	educ_rIp	allpat	popd_rIp
1285	520919.18	19708.84	6.86	0.71	3.75
1286	3840295.97	25164.97	7.51	28.51	4.79
1287	947177.01	20418.89	7.06	3.36	3.92
1288	762345.66	20078.95	9.36	1.25	2.09
1289	2485847.80	32124.71	9.59	13.99	3.99
1290	1413990.72	19156.64	9.40	6.75	3.02
1291	793260.47	21496.60	9.41	3.78	1.49
1292	25281.18	32957.71	9.44	0.04	2.84
1293	850813.60	49474.83	10.71	8.05	6.18
1294	40083.11	19348.36	9.66	0.05	4.35
1295	623271.80	17773.30	10.03	1.61	4.58
1296	190578.33	43461.35	9.77	0.93	4.12
1297	2403817.63	19814.05	10.00	5.12	4.50
1298	924087.60	33297.87	10.92	1.37	7.78
1299	884935.18	15868.81	9.37	0.18	4.64
1300	477681.58	15963.05	9.44	0.13	4.15
1301	428018.45	16248.41	9.46	0.54	4.30
1302	238136.49	14905.32	9.09	0.04	4.53
1303	647770.39	14751.15	9.05	0.17	5.04
1304	338448.66	15188.92	9.32	0.27	4.91
1305	434646.01	15814.99	9.49	0.16	4.76
1306	393355.37	14681.68	9.39	0.40	4.72
1307	398593.21	14424.27	9.23	0.13	4.34
1308	865639.10	15851.32	9.70	0.20	5.07
1309	494907.61	13641.94	9.45	0.15	4.80
1310	454928.82	14310.95	9.39	0.20	5.01
1311	983437.08	14241.87	9.26	0.17	5.45
1312	560717.84	21609.82	11.39	0.03	7.11
1313	222100.15	10128.48	9.62	0.05	4.62
1314	101547.71	9541.47	9.14	0.03	4.74
1315	132399.55	11094.24	9.61	0.08	4.98
1316	88612.22	12169.95	8.92	0.05	4.25
1317	85315.73	10091.54	9.53	0.10	5.09
1318	93805.88	9535.67	8.90	0.11	3.90
1319	66024.87	9153.80	8.84	0.03	3.82
1320	60488.02	9137.92	9.27	0.03	3.84
